url,title,description,published_date
https://samakal.com/whole-country/article/249245/%E0%A6%B2%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%A4%E0%A6%BE%E0%A6%B9%E0%A7%87%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%9F%E0%A6%BF%E0%A6%AA%E0%A7%81%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A6%BF-%E0%A6%A8%E0%A6%BF%E0%A6%B9%E0%A6%A4-%E0%A7%AA,"লক্ষ্মীপুরে তাহেরপুত্র টিপুর নির্বিচার গুলি, নিহত ৪",লক্ষ্মীপুরে বৈষম্যবিরোধী ছাত্র আন্দোলনকারীদের সঙ্গে রোববার আওয়ামী লীগের সংঘর্ষে ১১ জন নিহত হয়েছেন। এর মধ্যে সাতজন ক্ষমতাসীন দলের এবং চারজন সরকারবিরোধী বিক্ষোভকারী। আহত হয়েছেন উভয় পক্ষের অর্ধশতাধিক।,2024-08-05
https://samakal.com/whole-country/article/249241/%E0%A6%B8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A7%87-%E0%A6%8F%E0%A6%AE%E0%A6%AA%E0%A6%BF%E0%A6%B0-%E0%A6%AA%E0%A7%81%E0%A7%9C%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%BE-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%87-%E0%A6%95%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B2-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B9%E0%A6%A4-%E0%A7%A8%E0%A7%AD,"সিরাজগঞ্জে এমপির পুড়ে যাওয়া বাসা থেকে দুই কঙ্কাল উদ্ধার, নিহত ২৭",সিরাজগঞ্জ-২ (সদর ও কামারখন্দ) আসনের এমপি ড. জান্নাত আরা হেনরীর পুড়ে যাওয়া বাসা থেকে দু’টি কঙ্কাল উদ্ধার হয়েছে। জেলা শহরের মুজিব সড়কের বাসায় উদ্ধার কঙ্কাল দু’টির একটি জানপুরের ছাত্রলীগ কর্মী শাহিন আহম্মেদের। অপরজনের পরিচয় পাওয়া যায়নি। রোববার রাত সাড়ে ১০টায় পুড়ে যাওয়া ঘর থেকে কঙ্কাল দু’টি উদ্ধার করা হয়। কঙ্কাল উদ্ধারের পর বঙ্গমাতা জেনারেল হাসপাতালে পাঠানো হয়েছে।,2024-08-05
https://samakal.com/whole-country/article/249240/%E0%A6%A7%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE-%E0%A6%A6%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A7%AC-%E0%A6%86%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%AE%E0%A7%80-%E0%A6%B2%E0%A7%80%E0%A6%97-%E0%A6%A8%E0%A7%87%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%95%E0%A7%87-%E0%A6%AA%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%B9%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BE,ধাওয়া দিয়ে ৬ আওয়ামী লীগ নেতাকর্মীকে পিটিয়ে হত্যা,নরসিংদীর মাধবদীতে আন্দোলনকারীদের দিকে গুলি ছোড়ার পর ধাওয়া দিয়ে আওয়ামী লীগের ছয় নেতাকে পিটিয়ে হত্যার ঘটনা ঘটেছে। গতকাল রোববার দুপুর দেড়টার দিকে সদর উপজেলার মাধবদী পৌরসভাসংলগ্ন মসজিদের সামনে এ ঘটনা ঘটে। এর আগে ছয় আন্দোলনকারী গুলিবিদ্ধ হয়েছেন।,2024-08-05
https://samakal.com/whole-country/article/249226/%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%BF%E0%A6%9B%E0%A6%BF%E0%A6%B2%E0%A7%87-%E0%A6%86-%E0%A6%B2%E0%A7%80%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%A7%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE-%E0%A6%B8%E0%A6%82%E0%A6%98%E0%A6%B0%E0%A7%8D%E0%A6%B7,কিশোরগঞ্জ শহর / আন্দোলনকারীদের মিছিলে আ.লীগের ধাওয়া-সংঘর্ষ,কিশোরগঞ্জ শহরে আন্দোলনকারীদের সঙ্গে আওয়ামী লীগ নেতাকর্মীর সংঘর্ষে এক নারীসহ পাঁচজন নিহত হয়েছেন।,2024-08-05
