url	title	description	published_date
https://samakal.com/bangladesh/article/302275/%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%A4%E0%A6%BF-%E0%A6%87%E0%A6%B0%E0%A6%BE%E0%A6%A8-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87%C2%A0%E0%A6%AB%E0%A6%BF%E0%A6%B0%E0%A6%A4%E0%A7%87-%E0%A6%86%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9-%E0%A6%95%E0%A6%AE%E0%A6%9B%E0%A7%87%C2%A0%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B0	"??????????, ???? ???? ????? ????? ???? ????????????"	"???? ?? ??? ???????????? ?????? ?? ???????????? ???? ????? ???? ? ???????? ?????????????? ??????????? ??????? ????????? ??????? ??? ??????? ????? ?????? ????????? ??? ????????????? ?? ??? ???? ???????????? ???? ????????? ???? ???? ???? ?????????, ???? ??? ?? ?????????? ????????? ????? ??? ?? ???? ???? ?????? ???"	6/26/2025
https://samakal.com/bangladesh/article/302417/%E2%80%98%E0%A6%AE%E0%A6%AC%E2%80%99-%E0%A6%AC%E0%A6%B2%E0%A6%AC-%E0%A6%A8%E0%A6%BE-%E0%A6%8F%E0%A6%9F%E0%A6%BE-%E0%A6%B9%E0%A6%B2%E0%A7%8B-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B6%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%81%E0%A6%AA:-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B8-%E0%A6%B8%E0%A6%9A%E0%A6%BF%E0%A6%AC	"‘??’ ??? ??, ??? ??? ??????? ?????: ????? ????"	"?????? ????????? ????? ???? ?????? ??? ??????, ???? ????? ??????????? ????????? ????? ‘??’ ???? ?????? ???? ??????? ???? ???? ??????????? (???????????) ?????, ????? ‘??’ ????? ?????? ??? ????? ?? ??? ??? ??? ??? ??????? ??????"	6/26/2025
https://samakal.com/bangladesh/article/302432/%E0%A6%B6%E0%A7%87%E0%A6%96-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%B8%E0%A6%B9-%E0%A7%A7%E0%A7%AB%E0%A7%AC-%E0%A6%9C%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%AE%E0%A6%B2%E0%A6%BE-%E0%A6%A6%E0%A7%81%E0%A6%87-%E0%A6%AE%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A7%87-%E0%A6%A4%E0%A6%A6%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%BF%E0%A6%AC%E0%A6%BF%E0%A6%86%E0%A6%87%E0%A6%95%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B6	??? ???????? ??? ???? ???????? ????? ??? ????? ????? ?????? ???????? ???????	??? ??? ??? ??????? ????? ?????????? ?????? ?????? ????? ????????????? ??? ???????? ??? ???? ???????? ?????? ????? ?????? ????? ?????? ??????? ?????? ??????? ?????? ??? ??????	6/26/2025
https://samakal.com/bangladesh/article/302437/%E0%A6%B8%E0%A6%82%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF-%E0%A6%86%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A6%9F-%E0%A6%A6%E0%A6%B2%E0%A7%80%E0%A7%9F-%E0%A6%B2%E0%A7%87%E0%A6%9C%E0%A7%81%E0%A7%9C%E0%A6%AC%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%95%E0%A6%B0%E0%A6%BE%E0%A7%9F	????????????? ????????? / ??????????? ????? ?????? ???? ???? ??????????? ????	"??????????? ?????? ????? ???? ???????? ?????? ???? ??????????? ?????, ???? ??????????? ????? ??????? ?????? ???? ????? ?????? ????? ??????????-?????????? ??????? ???? ???????? ????? ??? ???? ??????? ???????????????? ???????????? ????? ???? ???? ???? ???????? ?? ????? ?????????? ????????? ????? ???"	6/26/2025
https://samakal.com/bangladesh/article/302114/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A7%87%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%95-%E0%A6%A6%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A7%9F-%E0%A6%A8%E0%A7%87%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%AE%E0%A6%B2%E0%A6%BE-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A7%A7	"????? ??????? ??????? / ???????????? ???? ?? ????? ???????? ?????, ????????? ?"	?? ?????? ??? ????? ?????? ???????? ??????? (?????) ?? ?? ????? ?????? ???????? ????? ???? ?????? ????? ???????????? ???? ?????? ??? ???? ??????? ?? ????? ???????? ????? ?????	6/25/2025
https://samakal.com/bangladesh/article/302123/%E2%80%98%E0%A6%AE%E0%A6%AC%E2%80%99-%E0%A6%A4%E0%A7%88%E0%A6%B0%E0%A6%BF-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%B8%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%95-%E0%A6%B8%E0%A6%BF%E0%A6%87%E0%A6%B8%E0%A6%BF%E0%A6%95%E0%A7%87-%E0%A6%B9%E0%A7%87%E0%A6%A8%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%98%E0%A6%9F%E0%A6%A8%E0%A6%BE%E0%A7%9F-%E0%A6%8F%E0%A6%95-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0	‘??’ ???? ??? ????? ??????? ???????? ????? ?? ??????? ?????????	‘??’ (????????? ????? ?????????) ???? ??? ????? ?????? ???????? ??????? (?????) ?? ?? ????? ?????? ???????? ????? ??. ????? ????? ?? ????????? ????????? ????? ???????? ??????????? ??? ???? ??????? ???? ????????? ??? ????	6/25/2025
https://samakal.com/bangladesh/article/302111/%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%AB%E0%A7%8B%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%AF%E0%A7%8D%E0%A6%AF%E0%A7%87-%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%95%E0%A6%B0%E0%A6%BE-%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%B2%E0%A7%87%E0%A6%A8%E0%A6%A6%E0%A7%87%E0%A6%A8	???? ?????????? ??? ???? ?? ???? / ???????????? ???????? ???? ?????? ??? ???? ??????	"???? ?????????? ??? ???? ????? ?????? ??????? ?????? ???? ‘???? ??’? ????, ???????????? ? ????? ????????? ? ???? ???? ??? ?????? ??? ???? ???? ??????? ???????????? ????????"	6/25/2025
https://samakal.com/bangladesh/article/302102/%E0%A6%86%E0%A6%B6%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A7%9F-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%AD%E0%A7%87%E0%A6%9F%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A6%BF%E0%A6%A8%E0%A6%A4%E0%A6%BE%E0%A6%87-%E0%A6%9C%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%8F%E0%A6%B8-%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%82%E0%A7%9F%E0%A7%87-%E0%A6%AF%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%9F%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BF-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%B0	"???????? ??????????? ??????, ?????? ??????????? ?????? ????? ???? ??????"	?????????? ??? ???????? ?????? ???????? ???? ????? ??????? ???? ??? ??????????? ???? ???????????? ????? ???????? ???? ?????? ?????? ??????????? ????????? ????????? ???? ???? ???? ????? ????? ??? ??????? ???? ???? ???? ??????? ????????? ????????????? ?????? ????? ??? ???? ????? ???? ?? ?????? ??? ?? ?????????? ?? ?? ???? ?????? ???? ???? ??? ??’?? ?????? ????? ??? ??? ??? ????? ?????? ???? ???? ??? ??????? ????? ???????????? ???? ????? ??? ????? ???? ?????? ?????? ??? ???? ?????? ????	6/25/2025
https://samakal.com/bangladesh/article/302085/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA-%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%AC%E0%A6%BE%E0%A7%9F%E0%A6%A8%E0%A7%87-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0-%E0%A6%B9%E0%A6%AC%E0%A7%87-%E0%A6%8F%E0%A6%86%E0%A6%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF	??????? ?????????? ??????? ??? ??? ?????????	"????? ?????????? ??? ??????? ??????????? (???) ????????? ??????? ??????? ??????, ??????? ? ??????????? ??? ?????? ??? ???? ????? ???? ??????? ??????? ???? ??????? ??? ????? ??????"	6/25/2025
https://samakal.com/bangladesh/article/302230/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8-%E0%A6%B8%E0%A6%AC%E0%A6%BE%E0%A6%87%E0%A6%95%E0%A7%87%E0%A6%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%AF-%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%A6%E0%A7%87%E0%A7%9F-%E0%A6%87%E0%A6%B6%E0%A6%B0%E0%A6%BE%E0%A6%95%E0%A6%95%E0%A7%87-%E0%A6%89%E0%A6%AA%E0%A6%A6%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE-%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB	"?????? ??????? ??????? ?????? ???, ??????? ???????? ????"	"‘?????? ?????? ??????? ?????? ???’- ?????? ???? ????? ??????? ???????? ??? ??????? ????????????? ?????? ?????? ?????? ??????? ?????, ????? ?????? ? ????? ???????? ???? ?????? ???? ???????"	6/25/2025
